reaction_time,growth_rate log curve,gr mean smoothed
-30.19999999999980,1.070000063983080,
-30.09999999999980,1.070000066760920,
-29.999999999999800,1.0700000696593500,1.078017
-29.899999999999800,1.0700000726836100,
-29.799999999999800,1.0700000758391800,
-29.699999999999800,1.0700000791317400,
-29.59999999999980,1.0700000825672500,
-29.49999999999980,1.0700000861519200,
-29.39999999999980,1.0700000898922100,
-29.299999999999800,1.0700000937948900,
-29.199999999999800,1.0700000978670000,
-29.099999999999800,1.0700001021159,
-28.999999999999800,1.0700001065492700,
-28.89999999999980,1.0700001111751100,
-28.79999999999980,1.0700001160017900,
-28.69999999999980,1.0700001210380100,
-28.599999999999800,1.0700001262928800,
-28.499999999999800,1.0700001317759000,
-28.399999999999800,1.0700001374969600,
-28.299999999999800,1.0700001434663900,
-28.19999999999980,1.0700001496949900,
-28.09999999999980,1.0700001561940100,
-27.99999999999980,1.0700001629751800,1.080849
-27.899999999999800,1.0700001700507500,
-27.799999999999800,1.0700001774335100,
-27.699999999999800,1.0700001851368000,
-27.599999999999800,1.0700001931745200,
-27.49999999999980,1.0700002015611900,
-27.39999999999980,1.0700002103119800,
-27.29999999999980,1.070000219442670,
-27.199999999999700,1.0700002289697800,
-27.099999999999700,1.0700002389105100,
-26.999999999999700,1.0700002492828100,
-26.899999999999700,1.0700002601054200,
-26.79999999999970,1.0700002713979000,
-26.69999999999970,1.070000283180630,
-26.59999999999970,1.0700002954749200,
-26.499999999999700,1.0700003083029500,
-26.399999999999700,1.0700003216879200,
-26.299999999999700,1.070000335653990,
-26.199999999999700,1.070000350226390,
-26.09999999999970,1.0700003654314600,
-25.99999999999970,1.0700003812966400,
-25.89999999999970,1.0700003978506100,
-25.799999999999700,1.0700004151232700,
-25.699999999999700,1.0700004331458200,
-25.599999999999700,1.0700004519508100,
-25.499999999999700,1.0700004715722100,
-25.39999999999970,1.0700004920454700,
-25.29999999999970,1.070000513407570,
-25.19999999999970,1.0700005356970900,
-25.099999999999700,1.0700005589543100,
-24.999999999999700,1.0700005832212300,
-24.899999999999700,1.0700006085416900,
-24.799999999999700,1.0700006349614300,
-24.69999999999970,1.0700006625281600,
-24.59999999999970,1.0700006912917000,
-24.49999999999970,1.0700007213039800,
-24.399999999999700,1.0700007526192400,
-24.299999999999700,1.0700007852940200,
-24.199999999999700,1.0700008193873700,
-24.099999999999700,1.0700008549608500,
-23.9999999999997,1.070000892078740,
-23.8999999999997,1.0700009308080700,
-23.7999999999997,1.0700009712188100,
-23.699999999999700,1.070001013383950,
-23.599999999999700,1.0700010573796500,
-23.499999999999700,1.0700011032853900,
-23.399999999999700,1.0700011511840900,
-23.29999999999970,1.0700012011622600,
-23.19999999999970,1.0700012533101900,
-23.09999999999970,1.070001307722060,
-22.999999999999700,1.0700013644961700,
-22.899999999999700,1.0700014237350600,
-22.799999999999700,1.0700014855457400,
-22.699999999999700,1.0700015500398500,
-22.59999999999970,1.0700016173338900,
-22.49999999999970,1.0700016875494100,
-22.39999999999970,1.0700017608132400,
-22.299999999999700,1.0700018372577000,
-22.199999999999700,1.0700019170208900,
-22.099999999999700,1.0700020002468600,
-21.999999999999700,1.0700020870859400,
-21.89999999999970,1.0700021776949900,
-21.79999999999970,1.07000227223766,
-21.69999999999970,1.0700023708847100,
-21.599999999999700,1.0700024738143300,
-21.499999999999700,1.0700025812124100,
-21.399999999999700,1.07000269327294,
-21.299999999999700,1.0700028101983100,
-21.199999999999700,1.0700029321997200,
-21.09999999999970,1.0700030594975000,
-20.99999999999970,1.0700031923215700,
-20.899999999999700,1.07000333091183,
-20.799999999999700,1.0700034755185800,
-20.699999999999700,1.0700036264029900,
-20.599999999999700,1.0700037838375600,
-20.499999999999700,1.0700039481066300,
-20.39999999999970,1.070004119506860,
-20.29999999999970,1.0700042983478100,
-20.199999999999600,1.0700044849524600,
-20.099999999999600,1.0700046796578100,
-19.999999999999600,1.0700048828154800,1.086499
-19.899999999999600,1.0700050947923600,
-19.799999999999600,1.0700053159712500,
-19.69999999999960,1.0700055467515700,
-19.59999999999960,1.0700057875500800,
-19.499999999999600,1.0700060388016100,
-19.399999999999600,1.0700063009598700,
-19.299999999999600,1.0700065744982400,
-19.199999999999600,1.070006859910680,
-19.099999999999600,1.0700071577125400,
-18.99999999999960,1.0700074684415500,
-18.89999999999960,1.0700077926587800,
-18.799999999999600,1.0700081309496300,
-18.699999999999600,1.0700084839249000,
-18.599999999999600,1.0700088522218900,
-18.499999999999600,1.0700092365055600,
-18.399999999999600,1.0700096374697100,
-18.29999999999960,1.070010055838230,
-18.19999999999960,1.0700104923664200,
-18.099999999999600,1.070010947842350,
-17.999999999999600,1.0700114230882600,
-17.899999999999600,1.0700119189620600,
-17.799999999999600,1.070012436358880,
-17.699999999999600,1.0700129762126600,
-17.59999999999960,1.0700135394978500,
-17.49999999999960,1.0700141272311600,
-17.399999999999600,1.0700147404733900,
-17.299999999999600,1.0700153803313400,
-17.199999999999600,1.0700160479598100,
-17.099999999999600,1.0700167445636400,
-16.999999999999600,1.0700174713999500,1.094492
-16.8999999999996,1.070018229780340,
-16.7999999999996,1.0700190210732500,
-16.699999999999600,1.0700198467064900,
-16.599999999999600,1.0700207081697000,
-16.499999999999600,1.0700216070171400,
-16.399999999999600,1.0700225448703800,
-16.299999999999600,1.0700235234213100,
-16.19999999999960,1.0700245444350900,
-16.09999999999960,1.0700256097534000,
-15.999999999999600,1.0700267212976800,
-15.899999999999600,1.0700278810726400,
-15.799999999999600,1.0700290911698000,
-15.699999999999600,1.0700303537712900,
-15.599999999999600,1.070031671153730,
-15.49999999999960,1.0700330456923400,
-15.39999999999960,1.0700344798651900,
-15.299999999999600,1.070035976257610,
-15.199999999999600,1.0700375375668600,
-15.099999999999600,1.070039166606960,
-14.999999999999600,1.0700408663137000,
-14.899999999999600,1.0700426397499100,
-14.79999999999960,1.0700444901109200,
-14.69999999999960,1.0700464207303200,
-14.599999999999600,1.0700484350858600,
-14.499999999999600,1.0700505368056800,
-14.399999999999600,1.070052729674810,
-14.299999999999600,1.0700550176419100,
-14.199999999999600,1.0700574048263000,
-14.09999999999960,1.0700598955252900,
-13.99999999999960,1.0700624942219000,
