"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
10305,"$25,000 under $50,000",154535
10305,"$50,000 under $75,000",176568
10305,"$75,000 under $100,000",181007
10305,"$100,000 under $200,000",423891
10305,"$200,000 or more",216227
,,
10306,,"2,118,227"
10306,"$1 under $25,000",98662
10306,"$25,000 under $50,000",193328
10306,"$50,000 under $75,000",242872
10306,"$75,000 under $100,000",266286
10306,"$100,000 under $200,000",749014
10306,"$200,000 or more",568065
,,
10307,,"727,966"
10307,"$1 under $25,000",20134
10307,"$25,000 under $50,000",37422
10307,"$50,000 under $75,000",54515
10307,"$75,000 under $100,000",62891
10307,"$100,000 under $200,000",214534
10307,"$200,000 or more",338470
,,
10308,,"1,089,205"
10308,"$1 under $25,000",43443
10308,"$25,000 under $50,000",87764
10308,"$50,000 under $75,000",128574
10308,"$75,000 under $100,000",142929
10308,"$100,000 under $200,000",449501
10308,"$200,000 or more",236994
,,
10309,,"1,360,570"
10309,"$1 under $25,000",44353
10309,"$25,000 under $50,000",96523
10309,"$50,000 under $75,000",132483
10309,"$75,000 under $100,000",148188
10309,"$100,000 under $200,000",511680
10309,"$200,000 or more",427343
,,
10310,,"740,761"
10310,"$1 under $25,000",51948
10310,"$25,000 under $50,000",89576
10310,"$50,000 under $75,000",94329
10310,"$75,000 under $100,000",88584
10310,"$100,000 under $200,000",258997
10310,"$200,000 or more",157327
,,
10312,,"2,470,899"
10312,"$1 under $25,000",89546
10312,"$25,000 under $50,000",189471
10312,"$50,000 under $75,000",262333
10312,"$75,000 under $100,000",301535
10312,"$100,000 under $200,000",949698
10312,"$200,000 or more",678316
,,
10314,,"2,968,189"
10314,"$1 under $25,000",147919
10314,"$25,000 under $50,000",302111
10314,"$50,000 under $75,000",368746
10314,"$75,000 under $100,000",395204
10314,"$100,000 under $200,000",1117936
10314,"$200,000 or more",636273
,,
10451,,"798,898"
10451,"$1 under $25,000",155273
10451,"$25,000 under $50,000",247717
10451,"$50,000 under $75,000",181983
10451,"$75,000 under $100,000",95234
10451,"$100,000 under $200,000",98818
10451,"$200,000 or more",19873
,,
10452,,"1,055,865"
10452,"$1 under $25,000",271224
10452,"$25,000 under $50,000",367771
10452,"$50,000 under $75,000",226656
10452,"$75,000 under $100,000",99882
10452,"$100,000 under $200,000",81216
10452,"$200,000 or more",9116
,,
10453,,"1,053,498"
10453,"$1 under $25,000",287979
10453,"$25,000 under $50,000",374196
10453,"$50,000 under $75,000",210260
10453,"$75,000 under $100,000",89169
10453,"$100,000 under $200,000",82044
10453,"$200,000 or more",9850
,,
10454,,"456,721"
10454,"$1 under $25,000",117619
10454,"$25,000 under $50,000",160358
10454,"$50,000 under $75,000",88559
10454,"$75,000 under $100,000",36561
10454,"$100,000 under $200,000",42207
10454,"$200,000 or more",11417
,,
10455,,"533,166"
10455,"$1 under $25,000",130317
10455,"$25,000 under $50,000",187896
10455,"$50,000 under $75,000",116729
10455,"$75,000 under $100,000",51626
10455,"$100,000 under $200,000",40323
10455,"$200,000 or more",6275
,,
10456,,"1,130,812"
10456,"$1 under $25,000",308186
10456,"$25,000 under $50,000",407630
10456,"$50,000 under $75,000",233165
10456,"$75,000 under $100,000",96854
10456,"$100,000 under $200,000",78985
10456,"$200,000 or more",5992
,,
10457,,"925,867"
10457,"$1 under $25,000",249585
10457,"$25,000 under $50,000",322739
10457,"$50,000 under $75,000",185677
10457,"$75,000 under $100,000",81211
10457,"$100,000 under $200,000",74582
10457,"$200,000 or more",12073
,,
10458,,"1,036,839"
10458,"$1 under $25,000",246873
10458,"$25,000 under $50,000",340447
10458,"$50,000 under $75,000",225601
10458,"$75,000 under $100,000",104743
10458,"$100,000 under $200,000",107792
10458,"$200,000 or more",11383
,,
10459,,"643,553"
10459,"$1 under $25,000",154620
10459,"$25,000 under $50,000",228055
10459,"$50,000 under $75,000",135296
10459,"$75,000 under $100,000",61776
10459,"$100,000 under $200,000",63806
10459,"$200,000 or more",** 
,,
10460,,"769,988"
10460,"$1 under $25,000",184890
10460,"$25,000 under $50,000",266874
10460,"$50,000 under $75,000",155478
10460,"$75,000 under $100,000",77078
10460,"$100,000 under $200,000",75609
10460,"$200,000 or more",10059
,,
10461,,"1,313,883"
10461,"$1 under $25,000",108675
10461,"$25,000 under $50,000",231660
10461,"$50,000 under $75,000",254615
10461,"$75,000 under $100,000",207265
10461,"$100,000 under $200,000",365178
10461,"$200,000 or more",146490
,,
10462,,"1,723,714"
10462,"$1 under $25,000",203315
10462,"$25,000 under $50,000",410522
10462,"$50,000 under $75,000",441688
10462,"$75,000 under $100,000",272400
10462,"$100,000 under $200,000",338296
10462,"$200,000 or more",57493
,,
10463,,"2,286,185"
10463,"$1 under $25,000",149667
10463,"$25,000 under $50,000",278398
10463,"$50,000 under $75,000",314728
10463,"$75,000 under $100,000",283457
10463,"$100,000 under $200,000",632676
10463,"$200,000 or more",627259
,,
10464,,"195,692"
10464,"$1 under $25,000",6202
10464,"$25,000 under $50,000",15426
10464,"$50,000 under $75,000",22505
10464,"$75,000 under $100,000",22995
10464,"$100,000 under $200,000",60063
10464,"$200,000 or more",68501
,,
10465,,"1,247,042"
10465,"$1 under $25,000",74405
10465,"$25,000 under $50,000",163937
10465,"$50,000 under $75,000",205198
10465,"$75,000 under $100,000",193071
10465,"$100,000 under $200,000",435028
10465,"$200,000 or more",175403
,,
10466,,"1,334,494"
10466,"$1 under $25,000",181476
10466,"$25,000 under $50,000",358869
10466,"$50,000 under $75,000",276460
10466,"$75,000 under $100,000",197478
10466,"$100,000 under $200,000",280933
10466,"$200,000 or more",39278
,,
10467,,"1,622,940"
10467,"$1 under $25,000",277302
10467,"$25,000 under $50,000",482057
10467,"$50,000 under $75,000",375601
10467,"$75,000 under $100,000",204468
10467,"$100,000 under $200,000",245343
10467,"$200,000 or more",38169
,,
10468,,"1,130,171"
10468,"$1 under $25,000",253765
10468,"$25,000 under $50,000",353857
10468,"$50,000 under $75,000",244639
10468,"$75,000 under $100,000",123995
10468,"$100,000 under $200,000",126983
10468,"$200,000 or more",26932
,,
10469,,"1,526,280"
10469,"$1 under $25,000",161782
10469,"$25,000 under $50,000",326297
10469,"$50,000 under $75,000",312673
10469,"$75,000 under $100,000",230275
10469,"$100,000 under $200,000",387891
10469,"$200,000 or more",107362
,,
10470,,"415,142"
10470,"$1 under $25,000",35324
10470,"$25,000 under $50,000",70153
10470,"$50,000 under $75,000",78258
10470,"$75,000 under $100,000",60950
10470,"$100,000 under $200,000",122073
10470,"$200,000 or more",48384
,,
10471,,"1,279,554"
10471,"$1 under $25,000",26451
10471,"$25,000 under $50,000",59402
10471,"$50,000 under $75,000",99549
10471,"$75,000 under $100,000",112936
10471,"$100,000 under $200,000",294768
10471,"$200,000 or more",686448
,,
10472,,"906,021"
10472,"$1 under $25,000",199407
10472,"$25,000 under $50,000",293795
10472,"$50,000 under $75,000",192611
10472,"$75,000 under $100,000",97833
10472,"$100,000 under $200,000",106862
10472,"$200,000 or more",15513
,,
10473,,"1,145,015"
10473,"$1 under $25,000",160487
10473,"$25,000 under $50,000",295793
10473,"$50,000 under $75,000",250754
10473,"$75,000 under $100,000",169819
10473,"$100,000 under $200,000",231996
10473,"$200,000 or more",36166
,,
10474,,"149,728"
10474,"$1 under $25,000",35504
10474,"$25,000 under $50,000",53538
10474,"$50,000 under $75,000",31923
10474,"$75,000 under $100,000",15537
10474,"$100,000 under $200,000",13226
10474,"$200,000 or more",** 
,,
10475,,"1,127,158"
10475,"$1 under $25,000",91671
10475,"$25,000 under $50,000",241461
10475,"$50,000 under $75,000",290703
10475,"$75,000 under $100,000",215542
10475,"$100,000 under $200,000",255126
10475,"$200,000 or more",32655
,,
10501,,"129,816"
10501,"$1 under $25,000",1818
10501,"$25,000 under $50,000",3062
10501,"$50,000 under $75,000",4577
10501,"$75,000 under $100,000",4695
10501,"$100,000 under $200,000",20369
10501,"$200,000 or more",95295
,,
10502,,"520,143"
10502,"$1 under $25,000",5597
10502,"$25,000 under $50,000",10967
10502,"$50,000 under $75,000",16091
10502,"$75,000 under $100,000",18577
10502,"$100,000 under $200,000",95937
10502,"$200,000 or more",372974
,,
10504,,"2,202,957"
10504,"$1 under $25,000",8275
10504,"$25,000 under $50,000",13810
10504,"$50,000 under $75,000",19190
10504,"$75,000 under $100,000",19836
10504,"$100,000 under $200,000",93776
10504,"$200,000 or more",2048070
,,
10505,,"86,933"
10505,"$1 under $25,000",2686
10505,"$25,000 under $50,000",4650
10505,"$50,000 under $75,000",3547
10505,"$75,000 under $100,000",4130
10505,"$100,000 under $200,000",19693
10505,"$200,000 or more",52227
,,
10506,,"1,130,408"
10506,"$1 under $25,000",6071
10506,"$25,000 under $50,000",9597
10506,"$50,000 under $75,000",10984
10506,"$75,000 under $100,000",12427
10506,"$100,000 under $200,000",67787
10506,"$200,000 or more",1023542
,,
10507,,"638,382"
10507,"$1 under $25,000",9245
10507,"$25,000 under $50,000",18701
10507,"$50,000 under $75,000",20263
10507,"$75,000 under $100,000",18356
10507,"$100,000 under $200,000",61003
10507,"$200,000 or more",510814
,,
10509,,"897,442"
10509,"$1 under $25,000",33041
10509,"$25,000 under $50,000",64622
10509,"$50,000 under $75,000",78964
10509,"$75,000 under $100,000",87270
10509,"$100,000 under $200,000",300018
10509,"$200,000 or more",333527
,,
10510,,"1,607,526"
10510,"$1 under $25,000",9121
10510,"$25,000 under $50,000",16927
10510,"$50,000 under $75,000",24711
10510,"$75,000 under $100,000",27377
10510,"$100,000 under $200,000",145180
10510,"$200,000 or more",1384210
,,
10511,,"94,626"
10511,"$1 under $25,000",3791
10511,"$25,000 under $50,000",7672
10511,"$50,000 under $75,000",10653
10511,"$75,000 under $100,000",10894
10511,"$100,000 under $200,000",35599
10511,"$200,000 or more",26017
,,
10512,,"1,121,928"
10512,"$1 under $25,000",37289
10512,"$25,000 under $50,000",83442
10512,"$50,000 under $75,000",110260
10512,"$75,000 under $100,000",119851
10512,"$100,000 under $200,000",407905
10512,"$200,000 or more",363181
,,
10514,,"2,936,410"
10514,"$1 under $25,000",9342
10514,"$25,000 under $50,000",12403
10514,"$50,000 under $75,000",18832
10514,"$75,000 under $100,000",22439
10514,"$100,000 under $200,000",121198
10514,"$200,000 or more",2752196
,,
10516,,"335,780"
10516,"$1 under $25,000",6745
10516,"$25,000 under $50,000",15452
10516,"$50,000 under $75,000",21518
10516,"$75,000 under $100,000",24690
10516,"$100,000 under $200,000",90634
10516,"$200,000 or more",176741
,,
10518,,"146,681"
10518,"$1 under $25,000",1586
10518,"$25,000 under $50,000",3308
10518,"$50,000 under $75,000",4056
10518,"$75,000 under $100,000",5279
10518,"$100,000 under $200,000",22160
10518,"$200,000 or more",110292
,,
10520,,"895,399"
10520,"$1 under $25,000",15842
10520,"$25,000 under $50,000",33916
10520,"$50,000 under $75,000",48196
10520,"$75,000 under $100,000",53121
10520,"$100,000 under $200,000",197870
10520,"$200,000 or more",546454
,,
10522,,"849,596"
10522,"$1 under $25,000",11821
10522,"$25,000 under $50,000",27527
10522,"$50,000 under $75,000",43323
10522,"$75,000 under $100,000",46117
10522,"$100,000 under $200,000",164692
10522,"$200,000 or more",556116
,,
10523,,"376,277"
10523,"$1 under $25,000",17448
10523,"$25,000 under $50,000",38846
10523,"$50,000 under $75,000",43947
10523,"$75,000 under $100,000",44816
10523,"$100,000 under $200,000",121124
10523,"$200,000 or more",110096
,,
10524,,"321,042"
10524,"$1 under $25,000",5419
10524,"$25,000 under $50,000",11101
10524,"$50,000 under $75,000",15315
10524,"$75,000 under $100,000",17177
10524,"$100,000 under $200,000",72594
10524,"$200,000 or more",199436
,,
10526,,"163,047"
10526,"$1 under $25,000",2564
10526,"$25,000 under $50,000",5121
10526,"$50,000 under $75,000",6562
10526,"$75,000 under $100,000",7971
10526,"$100,000 under $200,000",28334
10526,"$200,000 or more",112495
,,
10527,,"68,870"
10527,"$1 under $25,000",899
10527,"$25,000 under $50,000",1667
10527,"$50,000 under $75,000",2279
10527,"$75,000 under $100,000",3385
10527,"$100,000 under $200,000",16116
10527,"$200,000 or more",44524
,,
10528,,"1,513,649"
10528,"$1 under $25,000",16007
10528,"$25,000 under $50,000",34772
10528,"$50,000 under $75,000",45126
10528,"$75,000 under $100,000",50997
10528,"$100,000 under $200,000",142699
10528,"$200,000 or more",1224048
,,
10530,,"958,867"
10530,"$1 under $25,000",15114
10530,"$25,000 under $50,000",35969
10530,"$50,000 under $75,000",67344
10530,"$75,000 under $100,000",74643
10530,"$100,000 under $200,000",256555
10530,"$200,000 or more",509242
,,
10532,,"278,525"
10532,"$1 under $25,000",5550
10532,"$25,000 under $50,000",13886
10532,"$50,000 under $75,000",21895
10532,"$75,000 under $100,000",21786
10532,"$100,000 under $200,000",97115
10532,"$200,000 or more",118293
,,
10533,,"1,045,856"
10533,"$1 under $25,000",7104
10533,"$25,000 under $50,000",14026
10533,"$50,000 under $75,000",23394
10533,"$75,000 under $100,000",27852
10533,"$100,000 under $200,000",102995
10533,"$200,000 or more",870485
,,
10535,,"27,264"
10535,"$1 under $25,000",1365
10535,"$25,000 under $50,000",3662
10535,"$50,000 under $75,000",3967
10535,"$75,000 under $100,000",3749
10535,"$100,000 under $200,000",8871
10535,"$200,000 or more",5650
,,
10536,,"1,602,103"
10536,"$1 under $25,000",10468
10536,"$25,000 under $50,000",20026
10536,"$50,000 under $75,000",26506
10536,"$75,000 under $100,000",27796
10536,"$100,000 under $200,000",143184
10536,"$200,000 or more",1374123
,,
10537,,"82,978"
10537,"$1 under $25,000",4868
10537,"$25,000 under $50,000",10267
10537,"$50,000 under $75,000",10612
10537,"$75,000 under $100,000",13785
10537,"$100,000 under $200,000",31578
10537,"$200,000 or more",11868
,,
10538,,"3,481,123"
10538,"$1 under $25,000",15317
10538,"$25,000 under $50,000",26931
10538,"$50,000 under $75,000",43138
10538,"$75,000 under $100,000",49727
10538,"$100,000 under $200,000",187002
10538,"$200,000 or more",3159008
,,
10541,,"1,200,522"
10541,"$1 under $25,000",36392
10541,"$25,000 under $50,000",76015
10541,"$50,000 under $75,000",102477
10541,"$75,000 under $100,000",116806
10541,"$100,000 under $200,000",449219
10541,"$200,000 or more",419613
,,
10543,,"1,833,028"
