"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
12565,"$50,000 under $75,000",7047
12565,"$75,000 under $100,000",5913
12565,"$100,000 under $200,000",8922
12565,"$200,000 or more",** 
,,
12566,,"339,485"
12566,"$1 under $25,000",18773
12566,"$25,000 under $50,000",39391
12566,"$50,000 under $75,000",45594
12566,"$75,000 under $100,000",52341
12566,"$100,000 under $200,000",127832
12566,"$200,000 or more",55554
,,
12567,,"103,444"
12567,"$1 under $25,000",5354
12567,"$25,000 under $50,000",11251
12567,"$50,000 under $75,000",11462
12567,"$75,000 under $100,000",12149
12567,"$100,000 under $200,000",25037
12567,"$200,000 or more",38191
,,
12569,,"421,742"
12569,"$1 under $25,000",16442
12569,"$25,000 under $50,000",36921
12569,"$50,000 under $75,000",48164
12569,"$75,000 under $100,000",49011
12569,"$100,000 under $200,000",144724
12569,"$200,000 or more",126480
,,
12570,,"331,023"
12570,"$1 under $25,000",9977
12570,"$25,000 under $50,000",19018
12570,"$50,000 under $75,000",26764
12570,"$75,000 under $100,000",32821
12570,"$100,000 under $200,000",135148
12570,"$200,000 or more",107295
,,
12571,,"380,766"
12571,"$1 under $25,000",15567
12571,"$25,000 under $50,000",32877
12571,"$50,000 under $75,000",39707
12571,"$75,000 under $100,000",41996
12571,"$100,000 under $200,000",126069
12571,"$200,000 or more",124550
,,
12572,,"608,151"
12572,"$1 under $25,000",13936
12572,"$25,000 under $50,000",30394
12572,"$50,000 under $75,000",38643
12572,"$75,000 under $100,000",41764
12572,"$100,000 under $200,000",122311
12572,"$200,000 or more",361103
,,
12575,,"103,627"
12575,"$1 under $25,000",3322
12575,"$25,000 under $50,000",7471
12575,"$50,000 under $75,000",8412
12575,"$75,000 under $100,000",9672
12575,"$100,000 under $200,000",44114
12575,"$200,000 or more",30636
,,
12577,,"87,885"
12577,"$1 under $25,000",3098
12577,"$25,000 under $50,000",6143
12577,"$50,000 under $75,000",8387
12577,"$75,000 under $100,000",11296
12577,"$100,000 under $200,000",34685
12577,"$200,000 or more",24276
,,
12578,,"108,108"
12578,"$1 under $25,000",3796
12578,"$25,000 under $50,000",8272
12578,"$50,000 under $75,000",9879
12578,"$75,000 under $100,000",12320
12578,"$100,000 under $200,000",35242
12578,"$200,000 or more",38599
,,
12580,,"159,984"
12580,"$1 under $25,000",6096
12580,"$25,000 under $50,000",13604
12580,"$50,000 under $75,000",16010
12580,"$75,000 under $100,000",19823
12580,"$100,000 under $200,000",51779
12580,"$200,000 or more",52672
,,
12581,,"85,309"
12581,"$1 under $25,000",3649
12581,"$25,000 under $50,000",7746
12581,"$50,000 under $75,000",10537
12581,"$75,000 under $100,000",9213
12581,"$100,000 under $200,000",26134
12581,"$200,000 or more",28030
,,
12582,,"208,595"
12582,"$1 under $25,000",6337
12582,"$25,000 under $50,000",12990
12582,"$50,000 under $75,000",17810
12582,"$75,000 under $100,000",23546
12582,"$100,000 under $200,000",87087
12582,"$200,000 or more",60825
,,
12583,,"72,630"
12583,"$1 under $25,000",3973
12583,"$25,000 under $50,000",8008
12583,"$50,000 under $75,000",9186
12583,"$75,000 under $100,000",8876
12583,"$100,000 under $200,000",23219
12583,"$200,000 or more",19368
,,
12585,,"39,337"
12585,"$1 under $25,000",1393
12585,"$25,000 under $50,000",2299
12585,"$50,000 under $75,000",3784
12585,"$75,000 under $100,000",3169
12585,"$100,000 under $200,000",16193
12585,"$200,000 or more",12499
,,
12586,,"394,737"
12586,"$1 under $25,000",24857
12586,"$25,000 under $50,000",49278
12586,"$50,000 under $75,000",58266
12586,"$75,000 under $100,000",55527
12586,"$100,000 under $200,000",151932
12586,"$200,000 or more",54877
,,
12589,,"458,773"
12589,"$1 under $25,000",25691
12589,"$25,000 under $50,000",49385
12589,"$50,000 under $75,000",61072
12589,"$75,000 under $100,000",65123
12589,"$100,000 under $200,000",174973
12589,"$200,000 or more",82529
,,
12590,,"1,375,576"
12590,"$1 under $25,000",62370
12590,"$25,000 under $50,000",141784
12590,"$50,000 under $75,000",174370
12590,"$75,000 under $100,000",197126
12590,"$100,000 under $200,000",506014
12590,"$200,000 or more",293912
,,
12592,,"34,731"
12592,"$1 under $25,000",1908
12592,"$25,000 under $50,000",5424
12592,"$50,000 under $75,000",5968
12592,"$75,000 under $100,000",4391
12592,"$100,000 under $200,000",17040
12592,"$200,000 or more",** 
,,
12594,,"129,059"
12594,"$1 under $25,000",6973
12594,"$25,000 under $50,000",17609
12594,"$50,000 under $75,000",19650
12594,"$75,000 under $100,000",18019
12594,"$100,000 under $200,000",44724
12594,"$200,000 or more",22084
,,
12601,,"941,853"
12601,"$1 under $25,000",94130
12601,"$25,000 under $50,000",176284
12601,"$50,000 under $75,000",143052
12601,"$75,000 under $100,000",122736
12601,"$100,000 under $200,000",255207
12601,"$200,000 or more",150444
,,
12603,,"1,620,442"
12603,"$1 under $25,000",70801
12603,"$25,000 under $50,000",155719
12603,"$50,000 under $75,000",192568
12603,"$75,000 under $100,000",213495
12603,"$100,000 under $200,000",595085
12603,"$200,000 or more",392774
,,
12701,,"197,940"
12701,"$1 under $25,000",26633
12701,"$25,000 under $50,000",47778
12701,"$50,000 under $75,000",34470
12701,"$75,000 under $100,000",25556
12701,"$100,000 under $200,000",40148
12701,"$200,000 or more",23355
,,
12719,,"26,014"
12719,"$1 under $25,000",1450
12719,"$25,000 under $50,000",3631
12719,"$50,000 under $75,000",4383
12719,"$75,000 under $100,000",5169
12719,"$100,000 under $200,000",11381
12719,"$200,000 or more",** 
,,
12720,,"8,657"
12720,"$1 under $25,000",505
12720,"$25,000 under $50,000",847
12720,"$50,000 under $75,000",2395
12720,"$75,000 under $100,000",** 
12720,"$100,000 under $200,000",4910
12720,"$200,000 or more",** 
,,
12721,,"188,347"
12721,"$1 under $25,000",11987
12721,"$25,000 under $50,000",24375
12721,"$50,000 under $75,000",26351
12721,"$75,000 under $100,000",24955
12721,"$100,000 under $200,000",66748
12721,"$200,000 or more",33931
,,
12723,,"44,144"
12723,"$1 under $25,000",3494
12723,"$25,000 under $50,000",6420
12723,"$50,000 under $75,000",6490
12723,"$75,000 under $100,000",5423
12723,"$100,000 under $200,000",12589
12723,"$200,000 or more",9728
,,
12725,,"7,760"
12725,"$1 under $25,000",496
12725,"$25,000 under $50,000",2570
12725,"$50,000 under $75,000",** 
12725,"$75,000 under $100,000",4694
12725,"$100,000 under $200,000",** 
12725,"$200,000 or more",** 
,,
12726,,"31,823"
12726,"$1 under $25,000",1782
12726,"$25,000 under $50,000",3786
12726,"$50,000 under $75,000",4902
12726,"$75,000 under $100,000",4517
12726,"$100,000 under $200,000",16836
12726,"$200,000 or more",** 
,,
12729,,"39,651"
12729,"$1 under $25,000",3441
12729,"$25,000 under $50,000",7814
12729,"$50,000 under $75,000",7324
12729,"$75,000 under $100,000",7137
12729,"$100,000 under $200,000",13935
12729,"$200,000 or more",** 
,,
12732,,"25,897"
12732,"$1 under $25,000",1640
12732,"$25,000 under $50,000",2778
12732,"$50,000 under $75,000",3505
12732,"$75,000 under $100,000",3122
12732,"$100,000 under $200,000",14852
12732,"$200,000 or more",** 
,,
12733,,"9,379"
12733,"$1 under $25,000",1681
12733,"$25,000 under $50,000",2464
12733,"$50,000 under $75,000",2393
12733,"$75,000 under $100,000",2841
12733,"$100,000 under $200,000",** 
12733,"$200,000 or more",** 
,,
12734,,"27,407"
12734,"$1 under $25,000",2492
12734,"$25,000 under $50,000",6955
12734,"$50,000 under $75,000",4401
12734,"$75,000 under $100,000",3212
12734,"$100,000 under $200,000",10347
12734,"$200,000 or more",** 
,,
12737,,"49,624"
12737,"$1 under $25,000",3444
12737,"$25,000 under $50,000",6454
12737,"$50,000 under $75,000",7950
12737,"$75,000 under $100,000",8586
12737,"$100,000 under $200,000",18057
12737,"$200,000 or more",5133
,,
12738,,"6,102"
12738,"$1 under $25,000",554
12738,"$25,000 under $50,000",1079
12738,"$50,000 under $75,000",1556
12738,"$75,000 under $100,000",2913
12738,"$100,000 under $200,000",** 
12738,"$200,000 or more",** 
,,
12740,,"58,689"
12740,"$1 under $25,000",3319
12740,"$25,000 under $50,000",6876
12740,"$50,000 under $75,000",9244
12740,"$75,000 under $100,000",10561
12740,"$100,000 under $200,000",17162
12740,"$200,000 or more",11527
,,
12741,,"6,582"
12741,"$1 under $25,000",642
12741,"$25,000 under $50,000",2201
12741,"$50,000 under $75,000",** 
12741,"$75,000 under $100,000",3739
12741,"$100,000 under $200,000",** 
12741,"$200,000 or more",0
,,
12742,,"7,505"
12742,"$1 under $25,000",900
12742,"$25,000 under $50,000",2142
12742,"$50,000 under $75,000",1658
12742,"$75,000 under $100,000",2805
12742,"$100,000 under $200,000",** 
12742,"$200,000 or more",** 
,,
12743,,"7,617"
12743,"$1 under $25,000",642
12743,"$25,000 under $50,000",864
12743,"$50,000 under $75,000",2543
12743,"$75,000 under $100,000",** 
12743,"$100,000 under $200,000",3568
12743,"$200,000 or more",** 
,,
12745,,"5,512"
12745,"$1 under $25,000",476
12745,"$25,000 under $50,000",2286
12745,"$50,000 under $75,000",** 
12745,"$75,000 under $100,000",** 
12745,"$100,000 under $200,000",2750
12745,"$200,000 or more",** 
,,
12746,,"27,338"
12746,"$1 under $25,000",2853
12746,"$25,000 under $50,000",4764
12746,"$50,000 under $75,000",5775
12746,"$75,000 under $100,000",3543
12746,"$100,000 under $200,000",10403
12746,"$200,000 or more",** 
,,
12747,,"42,350"
12747,"$1 under $25,000",3629
12747,"$25,000 under $50,000",7014
12747,"$50,000 under $75,000",7136
12747,"$75,000 under $100,000",5792
12747,"$100,000 under $200,000",18779
12747,"$200,000 or more",** 
,,
12748,,"59,150"
12748,"$1 under $25,000",3921
12748,"$25,000 under $50,000",8646
12748,"$50,000 under $75,000",8190
12748,"$75,000 under $100,000",6728
12748,"$100,000 under $200,000",18710
12748,"$200,000 or more",12955
,,
12751,,"16,017"
12751,"$1 under $25,000",2786
12751,"$25,000 under $50,000",4095
12751,"$50,000 under $75,000",3396
12751,"$75,000 under $100,000",2752
12751,"$100,000 under $200,000",2988
12751,"$200,000 or more",** 
,,
12752,,"8,799"
12752,"$1 under $25,000",494
12752,"$25,000 under $50,000",1918
12752,"$50,000 under $75,000",2482
12752,"$75,000 under $100,000",** 
12752,"$100,000 under $200,000",3905
12752,"$200,000 or more",** 
,,
12754,,"130,338"
12754,"$1 under $25,000",14661
12754,"$25,000 under $50,000",28350
12754,"$50,000 under $75,000",21195
12754,"$75,000 under $100,000",16684
12754,"$100,000 under $200,000",32653
12754,"$200,000 or more",16795
,,
12758,,"95,324"
12758,"$1 under $25,000",8608
12758,"$25,000 under $50,000",16221
12758,"$50,000 under $75,000",14594
12758,"$75,000 under $100,000",14742
12758,"$100,000 under $200,000",26463
12758,"$200,000 or more",14696
,,
12759,,"25,597"
12759,"$1 under $25,000",4037
12759,"$25,000 under $50,000",5805
12759,"$50,000 under $75,000",3769
12759,"$75,000 under $100,000",3359
12759,"$100,000 under $200,000",8627
12759,"$200,000 or more",** 
,,
12760,,"9,838"
12760,"$1 under $25,000",1061
12760,"$25,000 under $50,000",1319
12760,"$50,000 under $75,000",4044
12760,"$75,000 under $100,000",** 
12760,"$100,000 under $200,000",3414
12760,"$200,000 or more",** 
,,
12762,,"13,942"
12762,"$1 under $25,000",1101
12762,"$25,000 under $50,000",2760
12762,"$50,000 under $75,000",2713
12762,"$75,000 under $100,000",2134
12762,"$100,000 under $200,000",5234
12762,"$200,000 or more",** 
,,
12763,,"18,553"
12763,"$1 under $25,000",1520
12763,"$25,000 under $50,000",3916
12763,"$50,000 under $75,000",3126
12763,"$75,000 under $100,000",3087
12763,"$100,000 under $200,000",6904
12763,"$200,000 or more",** 
,,
12764,,"42,800"
12764,"$1 under $25,000",3406
12764,"$25,000 under $50,000",6391
12764,"$50,000 under $75,000",6708
12764,"$75,000 under $100,000",5875
12764,"$100,000 under $200,000",14183
12764,"$200,000 or more",6237
,,
12765,,"26,461"
12765,"$1 under $25,000",1478
12765,"$25,000 under $50,000",3367
12765,"$50,000 under $75,000",4153
12765,"$75,000 under $100,000",4015
12765,"$100,000 under $200,000",13448
12765,"$200,000 or more",** 
,,
12766,,"6,744"
12766,"$1 under $25,000",826
12766,"$25,000 under $50,000",1207
12766,"$50,000 under $75,000",1583
12766,"$75,000 under $100,000",3128
12766,"$100,000 under $200,000",** 
12766,"$200,000 or more",** 
,,
12768,,"25,346"
12768,"$1 under $25,000",1644
12768,"$25,000 under $50,000",4460
12768,"$50,000 under $75,000",4109
12768,"$75,000 under $100,000",4584
12768,"$100,000 under $200,000",10549
12768,"$200,000 or more",** 
,,
12771,,"330,756"
12771,"$1 under $25,000",29873
12771,"$25,000 under $50,000",54295
12771,"$50,000 under $75,000",51084
12771,"$75,000 under $100,000",47860
12771,"$100,000 under $200,000",107846
12771,"$200,000 or more",39798
,,
12775,,"106,463"
12775,"$1 under $25,000",4191
12775,"$25,000 under $50,000",9830
12775,"$50,000 under $75,000",11855
12775,"$75,000 under $100,000",13828
12775,"$100,000 under $200,000",36010
12775,"$200,000 or more",30749
,,
12776,,"48,278"
12776,"$1 under $25,000",3635
12776,"$25,000 under $50,000",7411
12776,"$50,000 under $75,000",7927
12776,"$75,000 under $100,000",6239
12776,"$100,000 under $200,000",15365
12776,"$200,000 or more",7701
,,
12777,,"25,434"
12777,"$1 under $25,000",894
12777,"$25,000 under $50,000",2544
12777,"$50,000 under $75,000",3587
12777,"$75,000 under $100,000",4949
12777,"$100,000 under $200,000",13460
12777,"$200,000 or more",** 
,,
12779,,"48,715"
12779,"$1 under $25,000",5352
12779,"$25,000 under $50,000",11513
12779,"$50,000 under $75,000",6162
12779,"$75,000 under $100,000",5817
12779,"$100,000 under $200,000",8746
12779,"$200,000 or more",11125
,,
12780,,"64,960"
12780,"$1 under $25,000",4743
12780,"$25,000 under $50,000",7858
12780,"$50,000 under $75,000",9650
12780,"$75,000 under $100,000",12786
12780,"$100,000 under $200,000",29923
12780,"$200,000 or more",** 
,,
12783,,"30,004"
12783,"$1 under $25,000",2638
12783,"$25,000 under $50,000",5551
12783,"$50,000 under $75,000",5639
12783,"$75,000 under $100,000",5063
12783,"$100,000 under $200,000",11113
12783,"$200,000 or more",** 
,,
12786,,"19,801"
12786,"$1 under $25,000",1217
12786,"$25,000 under $50,000",2417
12786,"$50,000 under $75,000",2774
12786,"$75,000 under $100,000",1960
12786,"$100,000 under $200,000",11433
12786,"$200,000 or more",** 
,,
12787,,"10,903"
12787,"$1 under $25,000",874
12787,"$25,000 under $50,000",1852
12787,"$50,000 under $75,000",2251
12787,"$75,000 under $100,000",2576
12787,"$100,000 under $200,000",3350
12787,"$200,000 or more",** 
,,
12788,,"48,819"
12788,"$1 under $25,000",4141
12788,"$25,000 under $50,000",8875
12788,"$50,000 under $75,000",9275
12788,"$75,000 under $100,000",7568
12788,"$100,000 under $200,000",18960
12788,"$200,000 or more",** 
,,
12789,,"40,071"
12789,"$1 under $25,000",3860
12789,"$25,000 under $50,000",8084
12789,"$50,000 under $75,000",5559
12789,"$75,000 under $100,000",5072
12789,"$100,000 under $200,000",17496
12789,"$200,000 or more",** 
,,
12790,,"129,579"
12790,"$1 under $25,000",9183
12790,"$25,000 under $50,000",19895
12790,"$50,000 under $75,000",24651
12790,"$75,000 under $100,000",22219
12790,"$100,000 under $200,000",34799
12790,"$200,000 or more",18832
,,
12791,,"19,700"
12791,"$1 under $25,000",1356
12791,"$25,000 under $50,000",2780
12791,"$50,000 under $75,000",3307
12791,"$75,000 under $100,000",3293
12791,"$100,000 under $200,000",8964
12791,"$200,000 or more",** 
,,
12792,,"12,742"
12792,"$1 under $25,000",749
12792,"$25,000 under $50,000",1484
12792,"$50,000 under $75,000",2286
12792,"$75,000 under $100,000",2148
12792,"$100,000 under $200,000",6075
12792,"$200,000 or more",** 
,,
12801,,"365,229"
12801,"$1 under $25,000",37342
12801,"$25,000 under $50,000",78129
12801,"$50,000 under $75,000",66512
12801,"$75,000 under $100,000",55042
12801,"$100,000 under $200,000",87398
12801,"$200,000 or more",40806
,,
12803,,"221,397"
12803,"$1 under $25,000",18719
12803,"$25,000 under $50,000",42831
12803,"$50,000 under $75,000",43790
12803,"$75,000 under $100,000",42738
12803,"$100,000 under $200,000",64214
12803,"$200,000 or more",9105
,,
12804,,"979,605"
12804,"$1 under $25,000",53625
12804,"$25,000 under $50,000",113737
12804,"$50,000 under $75,000",121920
12804,"$75,000 under $100,000",121586
12804,"$100,000 under $200,000",318487
12804,"$200,000 or more",250250
,,
12808,,"12,921"
12808,"$1 under $25,000",548
12808,"$25,000 under $50,000",1143
12808,"$50,000 under $75,000",3864
12808,"$75,000 under $100,000",** 
12808,"$100,000 under $200,000",7366
12808,"$200,000 or more",** 
,,
12809,,"85,529"
12809,"$1 under $25,000",7033
12809,"$25,000 under $50,000",14577
12809,"$50,000 under $75,000",17182
12809,"$75,000 under $100,000",14624
12809,"$100,000 under $200,000",24559
12809,"$200,000 or more",7554
,,
12810,,"13,597"
12810,"$1 under $25,000",1374
12810,"$25,000 under $50,000",2989
12810,"$50,000 under $75,000",2978
12810,"$75,000 under $100,000",2556
12810,"$100,000 under $200,000",3700
12810,"$200,000 or more",** 
,,
12814,,"64,478"
12814,"$1 under $25,000",3963
12814,"$25,000 under $50,000",7082
12814,"$50,000 under $75,000",6569
12814,"$75,000 under $100,000",7007
12814,"$100,000 under $200,000",17832
12814,"$200,000 or more",22025
,,
12815,,"29,527"
12815,"$1 under $25,000",2458
12815,"$25,000 under $50,000",4077
12815,"$50,000 under $75,000",5344
12815,"$75,000 under $100,000",4059
12815,"$100,000 under $200,000",13589
12815,"$200,000 or more",** 
,,
12816,,"114,081"
12816,"$1 under $25,000",8058
12816,"$25,000 under $50,000",19468
12816,"$50,000 under $75,000",20092
12816,"$75,000 under $100,000",20480
12816,"$100,000 under $200,000",33649
12816,"$200,000 or more",12334
,,
12817,,"66,372"
12817,"$1 under $25,000",4494
12817,"$25,000 under $50,000",10073
12817,"$50,000 under $75,000",12214
12817,"$75,000 under $100,000",11933
12817,"$100,000 under $200,000",19582
12817,"$200,000 or more",8076
,,
12819,,"5,646"
12819,"$1 under $25,000",643
12819,"$25,000 under $50,000",2515
12819,"$50,000 under $75,000",** 
12819,"$75,000 under $100,000",2488
12819,"$100,000 under $200,000",** 
12819,"$200,000 or more",** 
,,
12821,,"6,874"
12821,"$1 under $25,000",550
12821,"$25,000 under $50,000",1503
12821,"$50,000 under $75,000",1941
12821,"$75,000 under $100,000",2880
12821,"$100,000 under $200,000",** 
12821,"$200,000 or more",0
,,
12822,,"140,191"
12822,"$1 under $25,000",12058
12822,"$25,000 under $50,000",29520
12822,"$50,000 under $75,000",29238
12822,"$75,000 under $100,000",26301
12822,"$100,000 under $200,000",35803
12822,"$200,000 or more",7271
,,
12823,,"8,435"
12823,"$1 under $25,000",615
12823,"$25,000 under $50,000",1373
12823,"$50,000 under $75,000",1549
12823,"$75,000 under $100,000",4898
12823,"$100,000 under $200,000",** 
12823,"$200,000 or more",** 
,,
12824,,"35,704"
12824,"$1 under $25,000",1792
12824,"$25,000 under $50,000",3434
12824,"$50,000 under $75,000",3968
12824,"$75,000 under $100,000",4113
12824,"$100,000 under $200,000",9518
12824,"$200,000 or more",12879
,,
12827,,"100,642"
12827,"$1 under $25,000",7919
12827,"$25,000 under $50,000",18263
12827,"$50,000 under $75,000",19718
12827,"$75,000 under $100,000",18592
12827,"$100,000 under $200,000",28625
12827,"$200,000 or more",7525
,,
12828,,"235,987"
12828,"$1 under $25,000",20852
12828,"$25,000 under $50,000",49783
12828,"$50,000 under $75,000",43336
12828,"$75,000 under $100,000",41967
12828,"$100,000 under $200,000",66242
12828,"$200,000 or more",13807
,,
12831,,"665,898"
12831,"$1 under $25,000",29328
12831,"$25,000 under $50,000",63053
12831,"$50,000 under $75,000",74655
12831,"$75,000 under $100,000",84720
12831,"$100,000 under $200,000",252744
12831,"$200,000 or more",161398
,,
12832,,"131,221"
12832,"$1 under $25,000",14100
12832,"$25,000 under $50,000",26400
12832,"$50,000 under $75,000",27193
12832,"$75,000 under $100,000",21682
12832,"$100,000 under $200,000",34740
12832,"$200,000 or more",7106
,,
12833,,"185,190"
12833,"$1 under $25,000",8679
12833,"$25,000 under $50,000",16916
12833,"$50,000 under $75,000",19899
12833,"$75,000 under $100,000",21264
12833,"$100,000 under $200,000",53743
12833,"$200,000 or more",64689
,,
12834,,"195,879"
12834,"$1 under $25,000",12493
12834,"$25,000 under $50,000",29594
12834,"$50,000 under $75,000",30079
12834,"$75,000 under $100,000",31270
12834,"$100,000 under $200,000",66179
12834,"$200,000 or more",26264
,,
12835,,"70,492"
12835,"$1 under $25,000",5351
12835,"$25,000 under $50,000",11678
12835,"$50,000 under $75,000",12732
12835,"$75,000 under $100,000",12709
12835,"$100,000 under $200,000",28022
12835,"$200,000 or more",** 
,,
12836,,"17,340"
12836,"$1 under $25,000",1299
12836,"$25,000 under $50,000",2637
12836,"$50,000 under $75,000",2136
12836,"$75,000 under $100,000",2096
12836,"$100,000 under $200,000",9172
12836,"$200,000 or more",** 
,,
12837,,"17,351"
12837,"$1 under $25,000",1803
12837,"$25,000 under $50,000",3682
12837,"$50,000 under $75,000",4119
12837,"$75,000 under $100,000",3132
12837,"$100,000 under $200,000",4615
12837,"$200,000 or more",0
,,
12838,,"16,351"
12838,"$1 under $25,000",1474
12838,"$25,000 under $50,000",3502
12838,"$50,000 under $75,000",3548
12838,"$75,000 under $100,000",2116
12838,"$100,000 under $200,000",5711
12838,"$200,000 or more",** 
,,
12839,,"277,248"
12839,"$1 under $25,000",32297
12839,"$25,000 under $50,000",66859
12839,"$50,000 under $75,000",59579
12839,"$75,000 under $100,000",44873
12839,"$100,000 under $200,000",62433
12839,"$200,000 or more",11207
,,
12842,,"31,495"
12842,"$1 under $25,000",2697
12842,"$25,000 under $50,000",6004
12842,"$50,000 under $75,000",5481
12842,"$75,000 under $100,000",5776
12842,"$100,000 under $200,000",11537
12842,"$200,000 or more",** 
,,
12843,,"13,728"
12843,"$1 under $25,000",1299
12843,"$25,000 under $50,000",2656
12843,"$50,000 under $75,000",1884
12843,"$75,000 under $100,000",2112
12843,"$100,000 under $200,000",5777
12843,"$200,000 or more",** 
,,
12844,,"14,768"
12844,"$1 under $25,000",268
12844,"$25,000 under $50,000",804
12844,"$50,000 under $75,000",2469
12844,"$75,000 under $100,000",** 
12844,"$100,000 under $200,000",11227
12844,"$200,000 or more",** 
,,
12845,,"194,441"
12845,"$1 under $25,000",10737
12845,"$25,000 under $50,000",20171
12845,"$50,000 under $75,000",20301
12845,"$75,000 under $100,000",22103
12845,"$100,000 under $200,000",51480
12845,"$200,000 or more",69649
,,
12846,,"81,910"
12846,"$1 under $25,000",7621
12846,"$25,000 under $50,000",14769
12846,"$50,000 under $75,000",16407
12846,"$75,000 under $100,000",12979
12846,"$100,000 under $200,000",22510
12846,"$200,000 or more",7624
,,
12847,,"19,178"
12847,"$1 under $25,000",1515
12847,"$25,000 under $50,000",2971
12847,"$50,000 under $75,000",3987
12847,"$75,000 under $100,000",3012
12847,"$100,000 under $200,000",7693
12847,"$200,000 or more",** 
,,
12849,,"14,672"
12849,"$1 under $25,000",1425
12849,"$25,000 under $50,000",2634
12849,"$50,000 under $75,000",2780
12849,"$75,000 under $100,000",2085
12849,"$100,000 under $200,000",5748
12849,"$200,000 or more",** 
,,
12850,,"104,584"
12850,"$1 under $25,000",4602
12850,"$25,000 under $50,000",11625
12850,"$50,000 under $75,000",12239
12850,"$75,000 under $100,000",13484
12850,"$100,000 under $200,000",36711
12850,"$200,000 or more",25923
,,
12851,,"7,162"
12851,"$1 under $25,000",682
12851,"$25,000 under $50,000",1647
12851,"$50,000 under $75,000",1469
12851,"$75,000 under $100,000",3364
12851,"$100,000 under $200,000",** 
12851,"$200,000 or more",** 
,,
12852,,"11,756"
12852,"$1 under $25,000",634
12852,"$25,000 under $50,000",1792
12852,"$50,000 under $75,000",2109
12852,"$75,000 under $100,000",2467
12852,"$100,000 under $200,000",4754
12852,"$200,000 or more",** 
,,
12853,,"30,295"
12853,"$1 under $25,000",3194
12853,"$25,000 under $50,000",6681
12853,"$50,000 under $75,000",4722
12853,"$75,000 under $100,000",4016
12853,"$100,000 under $200,000",11682
12853,"$200,000 or more",** 
,,
12855,,"6,046"
12855,"$1 under $25,000",534
12855,"$25,000 under $50,000",1105
12855,"$50,000 under $75,000",1463
12855,"$75,000 under $100,000",2944
12855,"$100,000 under $200,000",** 
12855,"$200,000 or more",** 
,,
12857,,"13,549"
12857,"$1 under $25,000",1213
12857,"$25,000 under $50,000",2452
12857,"$50,000 under $75,000",2130
12857,"$75,000 under $100,000",2490
12857,"$100,000 under $200,000",5264
12857,"$200,000 or more",** 
,,
12859,,"59,597"
12859,"$1 under $25,000",3849
12859,"$25,000 under $50,000",9168
12859,"$50,000 under $75,000",9691
12859,"$75,000 under $100,000",10068
12859,"$100,000 under $200,000",21388
12859,"$200,000 or more",5433
,,
12860,,"15,254"
12860,"$1 under $25,000",1941
12860,"$25,000 under $50,000",3811
12860,"$50,000 under $75,000",3194
12860,"$75,000 under $100,000",2382
12860,"$100,000 under $200,000",3926
12860,"$200,000 or more",** 
,,
12861,,"17,373"
12861,"$1 under $25,000",1150
12861,"$25,000 under $50,000",2171
12861,"$50,000 under $75,000",2819
12861,"$75,000 under $100,000",2781
12861,"$100,000 under $200,000",8452
12861,"$200,000 or more",** 
,,
12863,,"25,713"
12863,"$1 under $25,000",1199
12863,"$25,000 under $50,000",2817
12863,"$50,000 under $75,000",3129
12863,"$75,000 under $100,000",3752
12863,"$100,000 under $200,000",14816
12863,"$200,000 or more",** 
,,
12865,,"84,621"
12865,"$1 under $25,000",7352
12865,"$25,000 under $50,000",15643
12865,"$50,000 under $75,000",15651
12865,"$75,000 under $100,000",14387
12865,"$100,000 under $200,000",19817
12865,"$200,000 or more",11771
,,
12866,,"4,348,164"
12866,"$1 under $25,000",63166
12866,"$25,000 under $50,000",140978
12866,"$50,000 under $75,000",165947
12866,"$75,000 under $100,000",184229
12866,"$100,000 under $200,000",545433
12866,"$200,000 or more",3248411
,,
12870,,"45,155"
12870,"$1 under $25,000",4082
12870,"$25,000 under $50,000",8212
12870,"$50,000 under $75,000",7884
12870,"$75,000 under $100,000",6720
12870,"$100,000 under $200,000",10741
12870,"$200,000 or more",7516
,,
12871,,"116,350"
12871,"$1 under $25,000",7776
12871,"$25,000 under $50,000",16994
12871,"$50,000 under $75,000",20804
12871,"$75,000 under $100,000",18378
12871,"$100,000 under $200,000",36976
12871,"$200,000 or more",15422
,,
12873,,"21,811"
12873,"$1 under $25,000",1370
12873,"$25,000 under $50,000",3910
12873,"$50,000 under $75,000",3762
12873,"$75,000 under $100,000",3572
12873,"$100,000 under $200,000",9197
12873,"$200,000 or more",** 
,,
12878,,"14,359"
12878,"$1 under $25,000",1626
12878,"$25,000 under $50,000",2943
12878,"$50,000 under $75,000",3141
12878,"$75,000 under $100,000",3456
12878,"$100,000 under $200,000",3193
12878,"$200,000 or more",** 
,,
12883,,"113,386"
12883,"$1 under $25,000",10635
12883,"$25,000 under $50,000",20361
12883,"$50,000 under $75,000",21362
12883,"$75,000 under $100,000",18317
12883,"$100,000 under $200,000",31361
12883,"$200,000 or more",11350
,,
12885,,"99,060"
12885,"$1 under $25,000",11621
12885,"$25,000 under $50,000",20903
12885,"$50,000 under $75,000",18426
12885,"$75,000 under $100,000",15814
12885,"$100,000 under $200,000",22423
12885,"$200,000 or more",9873
,,
12886,,"5,784"
12886,"$1 under $25,000",762
12886,"$25,000 under $50,000",759
12886,"$50,000 under $75,000",1546
12886,"$75,000 under $100,000",** 
