,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
39137,"Putnam County, OH",9.3,7.4,5.8,6.0,4.6,3.9,3.7,3.5,3.4,"$64,304",114.5%
39139,"Richland County, OH",12.1,10.6,8.7,8.6,6.6,5.6,5.5,5.4,4.9,"$49,668",88.4%
39141,"Ross County, OH",11.9,10.0,8.4,8.7,6.4,5.4,5.5,5.1,4.6,"$49,385",87.9%
39143,"Sandusky County, OH",10.8,9.2,7.5,7.6,5.7,4.8,4.7,4.7,4.5,"$53,978",96.1%
39145,"Scioto County, OH",13.3,12.5,11.3,11.9,8.8,7.7,7.7,7.0,6.8,"$41,267",73.5%
39147,"Seneca County, OH",11.9,9.6,8.0,7.8,5.8,4.8,4.9,4.7,4.4,"$52,165",92.9%
39149,"Shelby County, OH",12.4,9.7,7.3,6.7,5.1,4.3,4.2,4.1,3.8,"$63,398",112.9%
39151,"Stark County, OH",11.3,9.3,7.5,7.6,5.8,5.3,5.5,5.2,4.9,"$52,310",93.2%
39153,"Summit County, OH",10.6,9.1,7.5,7.6,5.9,5.0,5.1,5.0,4.7,"$58,890",104.9%
39155,"Trumbull County, OH",13.2,10.7,9.0,9.4,7.3,6.5,6.8,7.2,6.2,"$47,424",84.5%
39157,"Tuscarawas County, OH",11.2,9.3,7.4,7.3,5.6,5.4,5.8,5.0,4.6,"$51,030",90.9%
39159,"Union County, OH",8.4,7.2,5.7,5.8,4.5,3.8,3.8,3.7,3.5,"$84,861",151.1%
39161,"Van Wert County, OH",12.1,9.3,7.5,7.0,4.9,4.2,4.0,3.9,3.5,"$54,331",96.8%
39163,"Vinton County, OH",13.5,11.9,10.8,10.7,8.0,6.6,7.1,6.8,6.2,"$43,457",77.4%
39165,"Warren County, OH",9.0,7.9,6.5,6.4,5.0,4.2,4.2,4.1,3.9,"$87,391",155.6%
39167,"Washington County, OH",11.4,10.0,8.7,8.6,6.4,6.0,7.0,6.2,5.6,"$50,904",90.6%
39169,"Wayne County, OH",9.3,7.7,6.1,6.2,4.7,3.9,4.0,3.9,3.6,"$59,142",105.3%
39171,"Williams County, OH",13.2,10.8,7.9,7.5,5.5,4.4,4.5,4.4,3.6,"$54,581",97.2%
39173,"Wood County, OH",9.9,8.3,6.9,7.0,5.2,4.3,4.2,4.4,4.0,"$64,282",114.5%
39175,"Wyandot County, OH",11.1,9.2,6.8,6.3,4.4,3.7,3.7,3.7,3.2,"$55,995",99.7%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
