,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
48349,"Navarro County, TX",8.3,8.1,7.3,6.5,5.2,4.2,4.2,3.9,3.7,"$46,259",76.3%
48351,"Newton County, TX",12.7,12.7,11.1,10.8,8.3,7.5,7.9,8.0,6.6,"$43,367",71.5%
48353,"Nolan County, TX",7.5,7.0,5.9,5.7,4.3,4.0,4.8,4.0,3.3,"$42,522",70.1%
48355,"Nueces County, TX",8.1,7.9,6.6,6.1,5.1,4.9,5.6,5.4,4.7,"$53,034",87.5%
48357,"Ochiltree County, TX",5.9,4.8,3.9,3.8,3.0,4.2,5.2,3.6,2.8,"$49,845",82.2%
48359,"Oldham County, TX",4.6,4.3,4.3,4.5,3.6,3.0,3.0,2.5,2.6,"$56,590",93.3%
48361,"Orange County, TX",11.7,11.5,10.5,10.4,8.0,6.5,6.7,6.9,5.7,"$56,556",93.3%
48363,"Palo Pinto County, TX",8.6,7.9,6.7,6.5,5.1,5.2,5.5,4.1,3.4,"$46,067",76.0%
48365,"Panola County, TX",9.0,8.2,6.9,6.2,4.9,5.2,7.2,5.4,4.2,"$51,192",84.4%
48367,"Parker County, TX",7.6,6.9,5.9,5.5,4.6,4.1,4.1,3.5,3.1,"$73,718",121.6%
48369,"Parmer County, TX",4.4,4.4,4.1,3.9,3.1,2.4,2.5,2.5,2.3,"$50,539",83.4%
48371,"Pecos County, TX",7.3,6.0,5.1,5.4,4.1,5.2,5.9,4.7,3.6,"$47,008",77.5%
48373,"Polk County, TX",9.7,9.3,8.0,7.7,6.4,6.0,6.3,6.1,5.0,"$46,017",75.9%
48375,"Potter County, TX",6.3,5.9,5.3,5.0,4.0,3.3,3.3,3.2,2.9,"$41,912",69.1%
48377,"Presidio County, TX",18.5,15.2,13.3,12.9,11.6,10.6,10.7,9.4,7.0,"$37,738",62.2%
48379,"Rains County, TX",8.8,8.2,7.0,6.1,4.9,4.5,4.0,3.6,3.5,"$47,572",78.5%
48381,"Randall County, TX",5.2,5.0,4.4,4.3,3.4,2.9,2.9,2.8,2.6,"$69,600",114.8%
48383,"Reagan County, TX",5.5,4.4,3.4,4.0,3.2,4.6,6.2,3.8,2.5,"$65,273",107.7%
48385,"Real County, TX",9.1,9.9,9.4,8.0,6.2,5.1,5.7,5.7,5.0,"$39,506",65.2%
48387,"Red River County, TX",11.5,12.1,10.7,10.1,7.7,6.3,5.8,5.2,5.4,"$42,233",69.7%
48389,"Reeves County, TX",8.9,8.0,6.8,5.8,4.0,4.8,5.3,3.6,2.1,"$45,341",74.8%
48391,"Refugio County, TX",8.7,7.6,6.0,5.4,4.3,5.3,6.6,5.6,4.7,"$44,821",73.9%
48393,"Roberts County, TX",5.4,5.0,5.1,4.4,3.5,3.9,4.5,3.8,3.0,"$67,470",111.3%
48395,"Robertson County, TX",9.2,9.2,8.0,7.0,5.4,4.8,5.1,4.7,4.1,"$44,917",74.1%
48397,"Rockwall County, TX",7.4,7.1,6.2,5.8,4.5,3.7,3.5,3.4,3.2,"$102,858",169.6%
48399,"Runnels County, TX",8.3,7.3,5.5,5.3,4.2,3.7,4.0,3.7,3.1,"$42,205",69.6%
48401,"Rusk County, TX",7.8,7.0,6.3,6.2,4.9,4.8,5.8,5.1,4.1,"$49,788",82.1%
48403,"Sabine County, TX",16.3,15.7,14.6,12.9,10.5,9.3,9.4,8.6,7.9,"$40,641",67.0%
48405,"San Augustine County, TX",13.0,14.1,12.1,11.6,9.5,9.0,8.9,7.5,6.5,"$38,826",64.0%
48407,"San Jacinto County, TX",10.0,9.7,8.2,7.6,5.8,5.6,6.3,5.7,5.0,"$47,028",77.6%
48409,"San Patricio County, TX",10.5,9.7,7.6,7.2,6.2,6.5,7.5,7.7,6.3,"$53,559",88.3%
48411,"San Saba County, TX",6.2,6.1,6.2,5.7,4.2,3.6,3.4,3.2,3.0,"$43,827",72.3%
48413,"Schleicher County, TX",7.6,5.7,4.0,3.5,3.0,5.3,5.2,3.7,2.9,"$47,317",78.0%
48415,"Scurry County, TX",6.8,5.7,4.5,4.2,3.3,4.1,5.9,4.3,3.4,"$53,059",87.5%
48417,"Shackelford County, TX",5.6,4.7,3.5,3.3,2.8,2.8,3.8,3.0,2.3,"$57,126",94.2%
48419,"Shelby County, TX",8.5,8.6,7.3,7.4,5.8,5.3,6.0,5.2,4.3,"$41,961",69.2%
48421,"Sherman County, TX",4.6,4.6,4.2,4.1,3.1,2.7,2.9,3.1,2.7,"$57,052",94.1%
48423,"Smith County, TX",7.9,7.8,7.0,6.5,5.2,4.5,4.5,4.1,3.6,"$56,848",93.8%
48425,"Somervell County, TX",8.0,7.8,6.6,6.0,5.1,5.0,4.8,4.6,4.2,"$63,929",105.4%
48427,"Starr County, TX",17.3,16.2,14.5,15.0,13.6,13.5,13.3,11.8,10.1,"$30,490",50.3%
48429,"Stephens County, TX",7.5,7.8,5.9,5.2,4.4,4.2,5.3,4.5,3.6,"$43,115",71.1%
48431,"Sterling County, TX",4.7,4.8,3.5,3.9,3.0,3.3,3.9,3.7,3.3,"$59,064",97.4%
48433,"Stonewall County, TX",5.8,5.5,4.4,4.7,3.9,4.4,4.4,3.4,3.5,"$46,915",77.4%
48435,"Sutton County, TX",9.6,6.8,4.7,4.6,3.6,6.0,8.0,5.1,3.8,"$54,774",90.3%
48437,"Swisher County, TX",6.6,6.7,5.9,8.4,6.1,4.8,4.3,4.1,4.3,"$43,084",71.1%
48439,"Tarrant County, TX",8.1,7.6,6.5,6.0,5.0,4.2,4.0,3.7,3.5,"$66,059",109.0%
48441,"Taylor County, TX",6.8,6.6,5.7,5.3,4.2,3.7,3.7,3.5,3.2,"$48,040",79.2%
48443,"Terrell County, TX",6.8,6.2,4.7,5.0,4.6,4.8,3.9,4.6,3.4,"$41,413",68.3%
48445,"Terry County, TX",7.4,7.1,6.5,5.9,4.3,4.7,4.8,5.0,4.1,"$41,268",68.1%
48447,"Throckmorton County, TX",6.0,7.0,5.3,5.0,4.0,3.2,3.5,4.3,3.4,"$42,701",70.4%
48449,"Titus County, TX",8.5,8.2,7.5,7.4,6.3,5.8,6.2,5.4,5.0,"$45,604",75.2%
48451,"Tom Green County, TX",6.6,6.3,5.3,5.2,4.0,4.1,4.5,3.7,3.2,"$51,393",84.8%
48453,"Travis County, TX",6.8,6.4,5.5,5.0,4.1,3.3,3.2,3.1,2.8,"$76,255",125.8%
48455,"Trinity County, TX",9.5,9.5,8.2,7.5,6.0,5.9,6.1,5.5,5.1,"$40,486",66.8%
